Sample_ID, Time, R, G, B
1,2025-04-01 14:26:23,52,86,129
1,2025-04-01 14:26:23,52,86,129
1,2025-04-01 14:26:24,53,87,129
1,2025-04-01 14:26:24,53,87,129
1,2025-04-01 14:26:24,52,86,129
1,2025-04-01 14:26:25,52,86,129
1,2025-04-01 14:26:25,52,86,129
1,2025-04-01 14:26:25,52,86,129
1,2025-04-01 14:26:26,52,86,129
1,2025-04-01 14:26:26,52,86,129
1,2025-04-01 14:26:27,52,86,129
1,2025-04-01 14:26:27,52,86,128
1,2025-04-01 14:26:28,52,86,128
1,2025-04-01 14:26:28,52,86,128
1,2025-04-01 14:26:29,52,86,128
1,2025-04-01 14:26:29,52,86,129
1,2025-04-01 14:26:29,52,86,129
1,2025-04-01 14:26:30,52,86,129
1,2025-04-01 14:26:30,52,86,129
1,2025-04-01 14:26:30,52,86,129
1,2025-04-01 14:26:31,52,86,129
1,2025-04-01 14:26:31,52,86,129
1,2025-04-01 14:26:32,53,86,129
1,2025-04-01 14:26:32,53,86,128
1,2025-04-01 14:26:33,53,86,128
1,2025-04-01 14:26:33,53,86,128
1,2025-04-01 14:26:33,53,86,128
1,2025-04-01 14:26:34,53,86,128
1,2025-04-01 14:26:34,53,86,128
1,2025-04-01 14:26:34,53,86,128
1,2025-04-01 14:26:35,53,86,128
1,2025-04-01 14:26:35,53,86,128
1,2025-04-01 14:26:36,54,86,128
1,2025-04-01 14:26:36,54,86,128
1,2025-04-01 14:26:37,54,86,128
1,2025-04-01 14:26:37,54,86,128
1,2025-04-01 14:26:37,54,86,128
1,2025-04-01 14:26:38,54,86,128
1,2025-04-01 14:26:38,55,86,128
1,2025-04-01 14:26:38,55,86,128
1,2025-04-01 14:26:39,55,86,128
1,2025-04-01 14:26:39,55,86,128
1,2025-04-01 14:26:40,56,86,129
1,2025-04-01 14:26:40,56,86,129
1,2025-04-01 14:26:41,57,87,129
1,2025-04-01 14:26:41,57,87,129
1,2025-04-01 14:26:42,58,87,129
1,2025-04-01 14:26:42,58,87,129
1,2025-04-01 14:26:42,58,87,129
1,2025-04-01 14:26:43,59,87,129
1,2025-04-01 14:26:43,60,87,129
1,2025-04-01 14:26:43,60,88,129
1,2025-04-01 14:26:44,61,88,129
1,2025-04-01 14:26:44,61,88,129
1,2025-04-01 14:26:45,63,88,129
1,2025-04-01 14:26:45,63,88,130
1,2025-04-01 14:26:46,64,89,129
1,2025-04-01 14:26:46,65,89,130
1,2025-04-01 14:26:46,66,89,130
1,2025-04-01 14:26:47,67,90,130
1,2025-04-01 14:26:47,69,90,130
1,2025-04-01 14:26:47,70,91,130
1,2025-04-01 14:26:48,72,91,130
1,2025-04-01 14:26:48,73,92,130
1,2025-04-01 14:26:49,75,93,130
1,2025-04-01 14:26:49,75,93,131
1,2025-04-01 14:26:50,78,94,131
1,2025-04-01 14:26:50,79,95,131
1,2025-04-01 14:26:51,81,96,132
1,2025-04-01 14:26:51,82,97,132
1,2025-04-01 14:26:51,85,98,132
1,2025-04-01 14:26:52,86,99,133
1,2025-04-01 14:26:52,88,101,133
1,2025-04-01 14:26:52,89,102,134
1,2025-04-01 14:26:53,91,104,134
1,2025-04-01 14:26:53,92,105,134
1,2025-04-01 14:26:54,94,107,135
1,2025-04-01 14:26:54,95,108,136
1,2025-04-01 14:26:55,97,110,136
1,2025-04-01 14:26:55,98,111,137
1,2025-04-01 14:26:55,99,113,137
1,2025-04-01 14:26:56,100,113,137
1,2025-04-01 14:26:56,102,116,138
1,2025-04-01 14:26:56,102,116,138
2,2025-04-01 14:27:36,67,101,131
2,2025-04-01 14:27:36,67,101,131
2,2025-04-01 14:27:36,67,101,131
2,2025-04-01 14:27:37,67,101,131
2,2025-04-01 14:27:37,66,100,130
2,2025-04-01 14:27:37,66,101,130
2,2025-04-01 14:27:38,67,101,130
